,modelId,learn_rate,learn_rate_annealing,col_sample_rate,max_abs_leafnode_pred,pred_noise_bandwidth,distribution,tweedie,quantile_alpha,huber_alpha,categorical_encoding,histogram_type,ntrees,max_depth,min_rows,sample_rate,col_sample_rate_per_tree,min_split_improvement
30,GBM_3_AutoML_20190418_120619,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,95,15,100.0,0.8,0.8,1e-05
31,GBM_5_AutoML_20190418_120619,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,95,15,100.0,0.8,0.8,1e-05
32,GBM_2_AutoML_20190418_120619,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,95,15,100.0,0.8,0.8,1e-05
33,GBM_1_AutoML_20190418_120619,0.1,1.0,0.8,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,95,15,100.0,0.8,0.8,1e-05
34,GBM_grid_1_AutoML_20190418_120619_model_15,0.1,1.0,0.4,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,99,14,30.0,0.6,0.4,1e-05
35,GBM_grid_1_AutoML_20190418_120619_model_14,0.01,1.0,0.4,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,209,11,15.0,0.9,0.4,0.0001
36,GBM_grid_1_AutoML_20190418_120619_model_6,0.01,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,229,16,100.0,0.5,0.7,1e-05
37,GBM_grid_1_AutoML_20190418_120619_model_7,0.8,1.0,1.0,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,30,10,30.0,0.8,1.0,0.0001
38,GBM_grid_1_AutoML_20190418_120619_model_16,0.08,1.0,1.0,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,4,12,15.0,0.6,0.7,0.0001
39,GBM_grid_1_AutoML_20190418_120619_model_11,0.1,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,156,4,30.0,0.5,0.7,1e-05
40,GBM_grid_1_AutoML_20190418_120619_model_8,0.5,1.0,0.4,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,87,4,30.0,0.6,0.7,1e-05
41,GBM_grid_1_AutoML_20190418_120619_model_1,0.1,1.0,0.4,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,65,7,100.0,1.0,1.0,0.0001
42,GBM_grid_1_AutoML_20190418_120619_model_3,0.5,1.0,1.0,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,55,4,5.0,0.7,0.4,0.0001
43,GBM_grid_1_AutoML_20190418_120619_model_12,0.8,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,45,3,5.0,0.5,0.7,0.0001
44,GBM_grid_1_AutoML_20190418_120619_model_4,0.005,1.0,0.4,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,30,4,15.0,0.7,0.4,1e-05
45,GBM_grid_1_AutoML_20190418_120619_model_10,0.01,1.0,0.4,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,30,3,15.0,0.7,1.0,1e-05
46,GBM_grid_1_AutoML_20190418_120619_model_13,0.005,1.0,0.7,1.7976931348623157e+308,0.0,bernoulli,1.5,0.5,0.9,AUTO,AUTO,31,4,5.0,1.0,1.0,0.0001
