,modelId,seed,tweedie_variance_power,tweedie_link_power,alpha,lambda,missing_values_handling,standardize,theta
0,GLM_grid_1_AutoML_20190415_223833_model_1,888573333419439396,0.0,1.0,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]","[0.40044436071981493, 0.24868273229194082, 0.15443618990917896, 0.09590749037478274, 0.05956017637704195, 0.036987878592192616, 0.022970099250379815, 0.014264820791416522, 0.008858695384516653, 0.005501399916841423, 0.003416462552479351, 0.0021216811264277652, 0.0013175999248032143]",MeanImputation,True,1e-10
1,GLM_grid_1_AutoML_20190418_113508_model_1,711766579752531550,0.0,1.0,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]","[0.40044436071981493, 0.24868273229194082, 0.15443618990917896, 0.09590749037478274, 0.05956017637704195, 0.036987878592192616, 0.022970099250379815, 0.014264820791416522, 0.008858695384516653, 0.005501399916841423, 0.003416462552479351, 0.0021216811264277652, 0.0013175999248032143]",MeanImputation,True,NA
2,GLM_grid_1_AutoML_20190418_130009_model_1,7150684335027209933,0.0,1.0,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]","[0.40044436071981493, 0.24868273229194082, 0.15443618990917896, 0.09590749037478274, 0.05956017637704195, 0.036987878592192616, 0.022970099250379815, 0.014264820791416522, 0.008858695384516653, 0.005501399916841423, 0.003416462552479351, 0.0021216811264277652, 0.0013175999248032143]",MeanImputation,True,1e-10
3,GLM_grid_1_AutoML_20190418_120619_model_1,6743050173023044500,0.0,1.0,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]","[0.40044436071981493, 0.24868273229194082, 0.15443618990917896, 0.09590749037478274, 0.05956017637704195, 0.036987878592192616, 0.022970099250379815, 0.014264820791416522, 0.008858695384516653, 0.005501399916841423, 0.003416462552479351, 0.0021216811264277652, 0.0013175999248032143]",MeanImputation,True,1e-10
