,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,StackedEnsemble_AllModels_AutoML_20190418_115600,0.8576000051499052,0.15788481150256492,0.34473530784617434,0.20139948445783576,0.040561752339882025
1,StackedEnsemble_BestOfFamily_AutoML_20190418_115600,0.8574011634824451,0.15787782464577374,0.3348077896893433,0.20130193082704764,0.040522467354697465
2,DRF_1_AutoML_20190418_115600,0.8504362581061489,0.17816100035154314,0.3527073133982367,0.20164756298784509,0.04066173965893695
3,XRT_1_AutoML_20190418_115600,0.8483000719347512,0.1717535572204742,0.3524275434282496,0.20198723642368666,0.04079884367807828
4,XGBoost_2_AutoML_20190418_115600,0.8412470239489719,0.16260751657957126,0.4079196681029484,0.20586619148062352,0.04238088879473675
5,XGBoost_1_AutoML_20190418_115600,0.8306843735754946,0.16902805383375175,0.4265730826199167,0.2100638147770477,0.04412680627868579
6,GLM_grid_1_AutoML_20190418_115600_model_1,0.5225910515546498,0.22097924308847253,0.5,0.2335166566542058,0.05453002893495823
